"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://multfun.tk/","text/plain","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","39","0","0.0","0","","0","0","0.0","0","0","0","0","","0.178","","https://www.multfun.tk/","HTTP Redirect","https://multfun.tk/"
"https://www.multfun.tk/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","MULTFUN - Поринь у світ мультів","31","307","","0","0","мультсеріали, мультсеріали для дорослих, мультсеріали для дітей, сімпсони, футурама, гріфіни, південний парк, рік та морті, нескінченний потяг, гравіті фоллз, час пригод, завойовник зім, стар проти сил зла","205","☰","1","← Про сайт","10","","0","1) Документальне підтвердження Ваших прав на матеріал, захищений авторським правом.","83","","","","https://multfun.tk/","","","","","14620","261","14.643023","1","","14","7","22.58","33","26","3","3","cea2ea705b02915123c909e073f8d61f","0.134","","","","https://www.multfun.tk/"
"https://www.multfun.tk/img/posters/familyguy.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","180225","0","0.0","2","","0","0","0.0","0","0","0","0","","0.052","","","","https://www.multfun.tk/img/posters/familyguy.png"
"https://www.multfun.tk/img/logo.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","30497","0","0.0","2","","0","0","0.0","0","0","0","0","","0.256","","","","https://www.multfun.tk/img/logo.png"
"https://www.multfun.tk/cartoons/adventuretime","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3398","0","0.0","2","","12","12","38.71","0","0","0","0","","0.309","","https://www.multfun.tk/cartoons/adventuretime/","HTTP Redirect","https://www.multfun.tk/cartoons/adventuretime"
"https://www.multfun.tk/cartoons/gravityfalls","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3459","0","0.0","2","","14","13","41.94","0","0","0","0","","0.392","","https://www.multfun.tk/cartoons/gravityfalls/","HTTP Redirect","https://www.multfun.tk/cartoons/gravityfalls"
"https://www.multfun.tk/cartoons/amphibia","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3420","0","0.0","2","","12","12","38.71","0","0","0","0","","0.44","","https://www.multfun.tk/cartoons/amphibia/","HTTP Redirect","https://www.multfun.tk/cartoons/amphibia"
"https://www.multfun.tk/cartoons/invaderzim","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3370","0","0.0","2","","12","12","38.71","0","0","0","0","","0.367","","https://www.multfun.tk/cartoons/invaderzim/","HTTP Redirect","https://www.multfun.tk/cartoons/invaderzim"
"https://www.multfun.tk/img/posters/starwars.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","222478","0","0.0","2","","0","0","0.0","0","0","0","0","","0.217","","","","https://www.multfun.tk/img/posters/starwars.png"
"https://www.multfun.tk/cartoons/starvs","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3484","0","0.0","2","","12","12","38.71","0","0","0","0","","0.291","","https://www.multfun.tk/cartoons/starvs/","HTTP Redirect","https://www.multfun.tk/cartoons/starvs"
"https://www.multfun.tk/cartoons/paradise","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3379","0","0.0","2","","14","14","45.16","0","0","0","0","","0.178","","https://www.multfun.tk/cartoons/paradise/","HTTP Redirect","https://www.multfun.tk/cartoons/paradise"
"https://www.multfun.tk/img/posters/amphibia.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","222860","0","0.0","2","","0","0","0.0","0","0","0","0","","0.191","","","","https://www.multfun.tk/img/posters/amphibia.png"
"https://www.multfun.tk/img/posters/clevelandshow.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","126521","0","0.0","2","","0","0","0.0","0","0","0","0","","0.467","","","","https://www.multfun.tk/img/posters/clevelandshow.png"
"https://www.multfun.tk/blog/","text/html; charset=UTF-8","200","OK","Indexable","","MULTBLOG - Блог сайту Multfun","29","295","","0","0","","0","☰","1","← Про сайт","10","","0","1) Документальне підтвердження Ваших прав на матеріал, захищений авторським правом.","83","","","","","","","","","7494","219","25.591433","2","","32","25","80.65","13","6","3","3","fe9bb5e46419bb3df4869cbf185bfe99","0.564","","","","https://www.multfun.tk/blog/"
